attomid,address_line1,avm_value,assdttlvalue,mktttlvalue,lat,lon
306039824,1254 SCRUBBY HILL RD,0,880,0,40.870916,-76.915922
306043014,1562 SUNBURY RD,123000,16570,0,40.870918,-76.832045
306039793,1282 SCRUBBY HILL RD,0,12650,12650,40.870932,-76.915382
306039794,1282 SCRUBBY HILL RD,0,510,0,40.870932,-76.915382
306043192,335 TOWER RD,196000,4190,0,40.870992,-76.811732
306039783,1348 SCRUBBY HILL RD,0,770,770,40.871027,-76.914152
306039781,1330 SCRUBBY HILL RD,0,8460,0,40.871033,-76.914465
306043184,736 TOWER RD,0,41650,0,40.871123,-76.804594
306043117,1639 SUNBURY RD,210000,33770,0,40.871173,-76.833187
306043155,236 TOWER RD,155000,28910,0,40.871280,-76.809972
306043161,88 BLUE HILL DR,71790,9860,0,40.871357,-76.816863
306042682,2520 PARK RD,193000,24010,0,40.871476,-76.843066
306043157,249 TOWER RD,0,8460,0,40.871495,-76.810201
306043116,1713 SUNBURY RD,218000,35510,0,40.871623,-76.834163
306043186,5110 ROUTE 15 N,180000,31720,0,40.871623,-76.817977
306042705,2511 PARK RD,195000,24150,0,40.871672,-76.842792
306043194,5133 ROUTE 15 S,0,15070,0,40.871847,-76.819531
